[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-7 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.16f099a0da/com.atlassian.auiplugin:split_aui.splitchunk.16f099a0da.css HTTP/1.1 200 6ms 2921 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-4 127.0.0.1 GET /s/b1d53c40561b4545b29b6ac6480bf3da-CDN/f7h4z9/9012/s1930046843/1.0/_/download/batch/confluence.web.resources:aui-dialog1-deprecated/confluence.web.resources:aui-dialog1-deprecated.css HTTP/1.1 200 22ms 1272 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-6 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.b548966f06/com.atlassian.auiplugin:split_aui.splitchunk.b548966f06.css HTTP/1.1 200 3ms 7144 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-4 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.component.async-header/com.atlassian.auiplugin:split_aui.component.async-header.css HTTP/1.1 200 3ms 292 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-7 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.b652d2668a/com.atlassian.auiplugin:split_aui.splitchunk.b652d2668a.css HTTP/1.1 200 7ms 10456 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-10 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/1.0/_/download/batch/confluence.web.resources:common-header-resources/confluence.web.resources:common-header-resources.css HTTP/1.1 200 13ms 2490 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-5 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/1.0/_/download/batch/confluence.web.resources:setup-select-install-type/confluence.web.resources:setup-select-install-type.css HTTP/1.1 200 5ms 418 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-2 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.pattern.multi-step-progress/com.atlassian.auiplugin:split_aui.pattern.multi-step-progress.css HTTP/1.1 200 14ms 2597 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-8 127.0.0.1 GET /s/b1d53c40561b4545b29b6ac6480bf3da-CDN/f7h4z9/9012/s1930046843/1.0/_/download/batch/confluence.web.resources:ajs/confluence.web.resources:ajs.css HTTP/1.1 200 21ms 17341 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-2 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.f5244b0828/com.atlassian.auiplugin:split_aui.splitchunk.f5244b0828.css HTTP/1.1 200 3ms 6270 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-4 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/1.0/_/download/batch/confluence.web.resources:setup/confluence.web.resources:setup.css HTTP/1.1 200 12ms 8949 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-9 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/6.1.0/_/download/batch/com.atlassian.plugins.atlassian-plugins-webresource-plugin:root/com.atlassian.plugins.atlassian-plugins-webresource-plugin:root.js HTTP/1.1 200 74ms 185 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-4 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/6.1.0/_/download/batch/com.atlassian.plugins.atlassian-plugins-webresource-plugin:context-path/com.atlassian.plugins.atlassian-plugins-webresource-plugin:context-path.js HTTP/1.1 200 67ms 414 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-1 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/6.1.0/_/download/batch/com.atlassian.plugins.atlassian-plugins-webresource-plugin:data/com.atlassian.plugins.atlassian-plugins-webresource-plugin:data.js HTTP/1.1 200 73ms 1247 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-3 127.0.0.1 GET /s/427940ec8e29341c8f4a3dcdb29fa97d-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:common-runtime/com.atlassian.auiplugin:common-runtime.js?locale=en-GB HTTP/1.1 200 74ms 1763 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-8 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/2.2.4.12/_/download/batch/com.atlassian.plugins.jquery:jquery-browser/com.atlassian.plugins.jquery:jquery-browser.js HTTP/1.1 200 4ms 2829 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-10 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/2.2.4.12/_/download/batch/com.atlassian.plugins.jquery:jquery-migrate/com.atlassian.plugins.jquery:jquery-migrate.js HTTP/1.1 200 4ms 9424 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
