[09/Apr/2024:14:08:17 +0300] - http-nio-8090-exec-9 127.0.0.1 GET /s/03ce4ad776e17c0b6e09d2c2b7e3e5a1-CDN/vv2rty/9012/m4ydwl/9b534f8ff08a20ec742ff9be14af1204/_/download/contextbatch/css/com.atlassian.confluence.extra.team-calendars.resources-batch,-_super,-atl.general,-main,-com.atlassian.confluence.extra.team-calendars.user-calendar/batch.css?build-number=9012&healthcheck-resources=true&hostenabled=true&tc-license-setup=true&user-logged-in=true HTTP/1.1 200 174ms 105398 http://localhost:8090/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:08:17 +0300] admin http-nio-8090-exec-1 127.0.0.1 GET /rest/dashboardmacros/1.0/updates?maxResults=40&tab=all&showProfilePic=true&labels=&spaces=&users=&types=&category=&spaceKey= HTTP/1.1 200 1098ms 2468 http://localhost:8090/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:08:17 +0300] admin http-nio-8090-exec-6 127.0.0.1 GET /rest/experimental/search?cql=type=space%20and%20space.type=favourite%20order%20by%20favourite%20desc&expand=space.icon&limit=100&_=1712660895569 HTTP/1.1 200 1090ms 961 http://localhost:8090/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:08:17 +0300] admin http-nio-8090-exec-4 127.0.0.1 GET /s/vv2rty/9012/m4ydwl/_/images/icons/profilepics/anonymous.svg HTTP/1.1 200 12ms 1206 http://localhost:8090/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:08:17 +0300] - http-nio-8090-exec-7 127.0.0.1 GET /s/vv2rty/9012/m4ydwl/18.5.24/_/download/resources/com.atlassian.confluence.plugins.confluence-icons:confluence-icon-resources/assets/icons/confluence-icon-page.svg HTTP/1.1 200 16ms 310 http://localhost:8090/s/98b45bdeb6272f075aded8429c1ca590-CDN/vv2rty/9012/m4ydwl/f54e1e6a7a67c22db9843209075e4af4/_/download/contextbatch/css/_super,-com.atlassian.plugins.atlassian-plugins-webresource-rest:data-collector-perf-observer/batch.css Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:08:17 +0300] - http-nio-8090-exec-2 127.0.0.1 GET /s/vv2rty/9012/m4ydwl/18.5.24/_/download/resources/com.atlassian.confluence.plugins.confluence-icons:confluence-icon-resources/assets/icons/confluence-icon-image.svg HTTP/1.1 200 17ms 287 http://localhost:8090/s/98b45bdeb6272f075aded8429c1ca590-CDN/vv2rty/9012/m4ydwl/f54e1e6a7a67c22db9843209075e4af4/_/download/contextbatch/css/_super,-com.atlassian.plugins.atlassian-plugins-webresource-rest:data-collector-perf-observer/batch.css Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:08:17 +0300] - http-nio-8090-exec-10 127.0.0.1 GET /s/vv2rty/9012/m4ydwl/18.5.24/_/download/resources/com.atlassian.confluence.plugins.confluence-icons:confluence-icon-resources/assets/icons/confluence-icon-home.svg HTTP/1.1 200 21ms 479 http://localhost:8090/s/98b45bdeb6272f075aded8429c1ca590-CDN/vv2rty/9012/m4ydwl/f54e1e6a7a67c22db9843209075e4af4/_/download/contextbatch/css/_super,-com.atlassian.plugins.atlassian-plugins-webresource-rest:data-collector-perf-observer/batch.css Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:08:17 +0300] admin http-nio-8090-exec-8 127.0.0.1 GET /images/logo/default-space-logo.svg HTTP/1.1 200 24ms 3459 http://localhost:8090/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:08:17 +0300] - http-nio-8090-exec-5 127.0.0.1 GET /s/vv2rty/9012/m4ydwl/18.5.24/_/download/resources/com.atlassian.confluence.plugins.confluence-icons:confluence-icon-resources/assets/icons/confluence-icon-space.svg HTTP/1.1 200 30ms 362 http://localhost:8090/s/98b45bdeb6272f075aded8429c1ca590-CDN/vv2rty/9012/m4ydwl/f54e1e6a7a67c22db9843209075e4af4/_/download/contextbatch/css/_super,-com.atlassian.plugins.atlassian-plugins-webresource-rest:data-collector-perf-observer/batch.css Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:08:17 +0300] - http-nio-8090-exec-9 127.0.0.1 GET /s/vv2rty/9012/m4ydwl/1/_/favicon.ico HTTP/1.1 200 31ms 4259 http://localhost:8090/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:08:17 +0300] - http-nio-8090-exec-3 127.0.0.1 GET /s/549eba382320eef989ef2fe416804121-CDN/vv2rty/9012/m4ydwl/9b534f8ff08a20ec742ff9be14af1204/_/download/contextbatch/js/com.atlassian.confluence.extra.team-calendars.resources-batch,-_super,-atl.general,-main,-com.atlassian.confluence.extra.team-calendars.user-calendar/batch.js?build-number=9012&healthcheck-resources=true&hostenabled=true&locale=en-US&tc-license-setup=true&user-logged-in=true HTTP/1.1 200 751ms 218010 http://localhost:8090/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:08:22 +0300] admin http-nio-8090-exec-1 127.0.0.1 POST /rest/analytics/1.0/publish/bulk HTTP/1.1 200 31ms 40 http://localhost:8090/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:08:46 +0300] admin http-nio-8090-exec-5 127.0.0.1 GET /rest/mywork/latest/status/notification/count HTTP/1.1 200 16ms 72 http://localhost:8090/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:08:46 +0300] admin http-nio-8090-exec-9 127.0.0.1 GET /rest/quickreload/latest/0?since=1712660892685 HTTP/1.1 200 145ms 118 http://localhost:8090/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:09:16 +0300] admin http-nio-8090-exec-4 127.0.0.1 GET /rest/mywork/latest/status/notification/count HTTP/1.1 200 21ms 72 http://localhost:8090/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:09:16 +0300] admin http-nio-8090-exec-7 127.0.0.1 GET /rest/quickreload/latest/0?since=1712660926295 HTTP/1.1 200 23ms 118 http://localhost:8090/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:09:46 +0300] admin http-nio-8090-exec-10 127.0.0.1 GET /rest/mywork/latest/status/notification/count HTTP/1.1 200 20ms 72 http://localhost:8090/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:09:46 +0300] admin http-nio-8090-exec-8 127.0.0.1 GET /rest/quickreload/latest/0?since=1712660956176 HTTP/1.1 200 9ms 118 http://localhost:8090/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:10:16 +0300] admin http-nio-8090-exec-1 127.0.0.1 GET /rest/mywork/latest/status/notification/count HTTP/1.1 200 34ms 72 http://localhost:8090/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
